node_id,dist_name,prov_name,events,fatalities,degree,betweenness,bridge_risk,bridge_flag
306,Chora,Uruzgan,270,1491,7,0.03727416394478421,0.02149827551493634,TRUE
232,Surkh Rod,Nangarhar,301,417,6,0.031223419261001275,0.020076079437529287,TRUE
313,Daymirdad,Wardak,93,265,6,0.09716892497304375,0.019303777166555916,FALSE
267,Sayid Karam,Paktya,295,869,6,0.030584805504386216,0.019273460059858333,FALSE
271,Hisa-I-Awali Panjsher,Panjshir,102,169,7,0.08470015609463825,0.018455096975079983,FALSE
53,Gizab,Daykundi,172,950,7,0.049993053522161664,0.018368346353756136,FALSE
29,Khost Wa Firing,Baghlan,129,257,8,0.0659024035932525,0.018160295623009932,FALSE
161,Panjwayi,Kandahar,457,3303,8,0.01844234871246252,0.01800380824579248,FALSE
138,Shibirghan,Jawzjan,286,1446,8,0.029180822712917654,0.017827708089167834,FALSE
236,Khash Rod,Nimroz,447,792,7,0.017028735678595645,0.016260049997495106,FALSE
19,Qadis,Badghis,505,1462,6,0.0150138971865546,0.016196335514757503,FALSE
264,Jaji,Paktya,160,465,7,0.04371133110810076,0.014939840597103198,FALSE
253,Sharan,Paktika,326,701,8,0.021204785964930074,0.014766699678171362,FALSE
63,Purchaman,Farah,64,241,9,0.10746799940648631,0.014692343973253552,FALSE
105,Lashkargah,Hilmand,1161,4355,6,0.005823640797249355,0.014443044478272717,FALSE
126,Obe,Hirat,142,452,8,0.047377660182769545,0.01437122874853435,FALSE
276,Ghorband,Parwan,100,209,9,0.06623951504031014,0.014149760640500369,FALSE
77,Qaysar,Faryab,486,2087,7,0.013251640862854274,0.013757447868984054,FALSE
160,Maywand,Kandahar,732,3177,7,0.008728098941252987,0.0136478013008414,FALSE
213,Achin,Nangarhar,486,3450,6,0.01306673558213364,0.013565484867078034,FALSE
274,Bagram,Parwan,286,215,7,0.02206989562794687,0.013483364080727743,FALSE
26,Doshi,Baghlan,112,209,6,0.056204801574503804,0.013446937636531979,FALSE
